id,user,market,reserveSymbol,assetId,hashOpened,hashClosed,balance,principal,isCollateral,isIsolated,side,type,collateralBalanceETH
0x000000000000000000000000000000000000dead-0x191c10aa4af7c30e871e70c95db0e4eb77237530-COLLATERAL-0,0x000000000000000000000000000000000000dead,0x191c10aa4af7c30e871e70c95db0e4eb77237530,aPolLINK,0x191c10aa4af7c30e871e70c95db0e4eb77237530,0x06313259dc174c7103f0a5fa48c5b983db59d9b945dab18b51520133fc6baeb6,,6.749959722196244e+17,6.735968341199233e+17,,,COLLATERAL,,0.0
0x000000000000000000000000000000000000dead-0x6d80113e533a2c0fe82eabd35f1875dcea89ea97-COLLATERAL-0,0x000000000000000000000000000000000000dead,0x6d80113e533a2c0fe82eabd35f1875dcea89ea97,aPolWMATIC,0x6d80113e533a2c0fe82eabd35f1875dcea89ea97,0xbda6dc727f0c1140fadb05083afeac9a72cf01d35b13219ba5e472dc80156f4a,,7833871354101.0,7537374561459.0,,,COLLATERAL,,0.0
0x000000000000000000000000000000000000dead-0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee-COLLATERAL-0,0x000000000000000000000000000000000000dead,0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee,aPolDAI,0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee,0x70a1582d55823cb5108f347e256e77d13ed68e614c713c67fab6be95bafb4de4,,1.1000005997104572e+18,9.947629654438546e+17,,,COLLATERAL,,0.0
0x000000000000000000000000000000000000dead-0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8-COLLATERAL-0,0x000000000000000000000000000000000000dead,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,aPolWETH,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,0x4cbfc5b3c6310702c71a48fc80f7b7ed45885842a498b938f8685e9ea33933bc,,10000067342755.0,9962699225721.0,,,COLLATERAL,,0.0
0x000000000000000000000000000000000000dead-0xf329e36c7bf6e5e86ce2150875a84ce77f477375-COLLATERAL-0,0x000000000000000000000000000000000000dead,0xf329e36c7bf6e5e86ce2150875a84ce77f477375,aPolAAVE,0xf329e36c7bf6e5e86ce2150875a84ce77f477375,0x7ffb2d5f56698a9ca2d4da013c7abaf0ec7bdf5cd664780f0750a1a493f3aad8,,29340448.0,29332043.0,,,COLLATERAL,,0.0
0x000000000000e88fe64e2b65189820d88186c888-0x6ab707aca953edaefbc4fd23ba73294241490620-COLLATERAL-0,0x000000000000e88fe64e2b65189820d88186c888,0x6ab707aca953edaefbc4fd23ba73294241490620,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0xdcba71a909a2249dcab76a59a2f9b012dad5dae76e13b2bb0da802dc18823813,,99999200000.0,89787131788.0,True,,COLLATERAL,,0.0
0x000000000000e88fe64e2b65189820d88186c888-0xa4d94019934d8333ef880abffbf2fdd611c762bd-COLLATERAL-0,0x000000000000e88fe64e2b65189820d88186c888,0xa4d94019934d8333ef880abffbf2fdd611c762bd,USDC,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0x125479884a83f0951504b617b14161517b1f67f128b8a5df3e80ab52462b8955,,327656435022.0,305716603859.0,True,True,COLLATERAL,,0.0
0x00000000000ba9cd9f5175108141a82b6c24d727-0xa4d94019934d8333ef880abffbf2fdd611c762bd-COLLATERAL-8,0x00000000000ba9cd9f5175108141a82b6c24d727,0xa4d94019934d8333ef880abffbf2fdd611c762bd,aPolUSDCn,0xa4d94019934d8333ef880abffbf2fdd611c762bd,0x4431a870f293300a922f4043b1370d45ebb55c6daa0ddca13039f7b0e4ab4349,,2.0,2.0,,,COLLATERAL,,0.0
0x00000000000ba9cd9f5175108141a82b6c24d727-0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8-COLLATERAL-0,0x00000000000ba9cd9f5175108141a82b6c24d727,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,aPolWETH,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,0xbb70965a556cd6b2cdd1531f56a35c3fc23130748145aac6c3fc2ae883fa5d81,,33966251574520.0,33502829324055.0,,,COLLATERAL,,0.0
0x00000000009726632680fb29d3f7a9734e3010e2-0x078f358208685046a11c85e8ad32895ded33a249-COLLATERAL-0,0x00000000009726632680fb29d3f7a9734e3010e2,0x078f358208685046a11c85e8ad32895ded33a249,aPolWBTC,0x078f358208685046a11c85e8ad32895ded33a249,0xc2240f8f50bf36e5f754d96062a66d7adb0cfe50f21a9f54663dbb7d919fac1b,,1.0,1.0,,,COLLATERAL,,0.0
0x00000000009726632680fb29d3f7a9734e3010e2-0x625e7708f30ca75bfd92586e17077590c60eb4cd-COLLATERAL-1,0x00000000009726632680fb29d3f7a9734e3010e2,0x625e7708f30ca75bfd92586e17077590c60eb4cd,aPolUSDC,0x625e7708f30ca75bfd92586e17077590c60eb4cd,0x1d3df44eda24f4a553ccbfa4be29a697c168da1105b67618973325cbcb118cde,,1.0,1.0,,,COLLATERAL,,0.0
0x00000000009726632680fb29d3f7a9734e3010e2-0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8-COLLATERAL-1,0x00000000009726632680fb29d3f7a9734e3010e2,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,aPolWETH,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,0xda9902a2555c7c6498625ca1efc075e4ba5f83a54bced64ba05de944989177dd,,792061011.0,778469143.0,,,COLLATERAL,,0.0
0x0000000000fae4b35bc1de50154f2ddd21848d94-0x38d693ce1df5aadf7bc62595a37d667ad57922e5-COLLATERAL-0,0x0000000000fae4b35bc1de50154f2ddd21848d94,0x38d693ce1df5aadf7bc62595a37d667ad57922e5,EURS,0xe111178a87a3bff0c8d18decba5798827539ae99,0xc44f72af609efe2fd8dbb4b3f1480cb5e41c3bdeb5cd5907a6e73efbb98aed02,,160399.0,142269.0,,True,COLLATERAL,,0.0
0x000000000bb6a011db294ce3f3423f00eac4959e-0xa4d94019934d8333ef880abffbf2fdd611c762bd-COLLATERAL-0,0x000000000bb6a011db294ce3f3423f00eac4959e,0xa4d94019934d8333ef880abffbf2fdd611c762bd,USDC,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0x227c94c7654c3108cf1914f469ae875eede9aca66c8958d5e3aa2e7af7024859,,2584513911.0,2341691542.0,True,,COLLATERAL,,0.0
0x000000004ea8d1a2a97153d5453ae3f2241ad8fa-0x6d80113e533a2c0fe82eabd35f1875dcea89ea97-COLLATERAL-0,0x000000004ea8d1a2a97153d5453ae3f2241ad8fa,0x6d80113e533a2c0fe82eabd35f1875dcea89ea97,WPOL,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xc6a6e89175092da71fde9fa3c9e8bb999512fbe329003b11fe15b7e642f6734b,,1e+16,9874255394744828.0,True,,COLLATERAL,,0.0
0x000000005b917cc906c88bacedb8bee3acb26739-0x625e7708f30ca75bfd92586e17077590c60eb4cd-BORROWER-VARIABLE-0,0x000000005b917cc906c88bacedb8bee3acb26739,0x625e7708f30ca75bfd92586e17077590c60eb4cd,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x4c665c5e3544392a4996f1f76dfea879f69fa2a3eed91c083455a511f586c14f,,1.0,1.0,,,BORROWER,VARIABLE,0.0
0x00000000fdac7708d0d360bddc1bc7d097f47439-0x078f358208685046a11c85e8ad32895ded33a249-COLLATERAL-0,0x00000000fdac7708d0d360bddc1bc7d097f47439,0x078f358208685046a11c85e8ad32895ded33a249,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,0x07d3fa4741bc6dec67588fa03312d5b4aaa30cccce73593aa01f9a5347e3f5f2,,1.0,1.0,True,,COLLATERAL,,0.0
0x00000000fdac7708d0d360bddc1bc7d097f47439-0x6d80113e533a2c0fe82eabd35f1875dcea89ea97-COLLATERAL-0,0x00000000fdac7708d0d360bddc1bc7d097f47439,0x6d80113e533a2c0fe82eabd35f1875dcea89ea97,WPOL,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xad09213ea81d4e010a2daa5a5e7f22c1871d4e14dbbbddfa5c48f4c653c9815d,,1.0,1.0,True,,COLLATERAL,,0.0
0x00000000fdac7708d0d360bddc1bc7d097f47439-0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee-COLLATERAL-0,0x00000000fdac7708d0d360bddc1bc7d097f47439,0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x1c13f34167238106582fcc12e31ced725a9dcdfb9ba95f08fac081589a4ded2d,,1.0,1.0,True,,COLLATERAL,,0.0
0x00000000fdac7708d0d360bddc1bc7d097f47439-0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8-COLLATERAL-0,0x00000000fdac7708d0d360bddc1bc7d097f47439,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x2a536fa1ec670ee5e460b086e753b5de147f47af55826ecfaac08086a984b0f0,,1.0,1.0,True,,COLLATERAL,,0.0
0x00000000fdac7708d0d360bddc1bc7d097f47439-0xf329e36c7bf6e5e86ce2150875a84ce77f477375-COLLATERAL-0,0x00000000fdac7708d0d360bddc1bc7d097f47439,0xf329e36c7bf6e5e86ce2150875a84ce77f477375,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,0x93288fd26643238cb3776eee7259837b2b282f2e6dd7cc731b824cdb120f3a06,,1.0,1.0,True,,COLLATERAL,,0.0
0x00000001b01122945d67cf7c972f1a2063ca4008-0x6ab707aca953edaefbc4fd23ba73294241490620-COLLATERAL-0,0x00000001b01122945d67cf7c972f1a2063ca4008,0x6ab707aca953edaefbc4fd23ba73294241490620,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x21dea61bd545a9574a98224b9e555849a1f5e194c121e488c0263204a94e8380,,10000.0,9778.0,,True,COLLATERAL,,0.0
0x00000001b01122945d67cf7c972f1a2063ca4008-0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee-BORROWER-VARIABLE-1,0x00000001b01122945d67cf7c972f1a2063ca4008,0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x885f87a1793707d4b6262f3f9595aa6af13aeb18ecaffea1b4c0a9d1644a0615,,5007320370920180.0,4912640436031627.0,,,BORROWER,VARIABLE,0.0
0x0000000251b41c5e39b5f54af878950438186808-0x625e7708f30ca75bfd92586e17077590c60eb4cd-COLLATERAL-0,0x0000000251b41c5e39b5f54af878950438186808,0x625e7708f30ca75bfd92586e17077590c60eb4cd,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x89cb7b96540f924154f5ee17d28546a259b0bc08ad18114ef2382084eb3a23e5,,10000.0,9896.0,True,,COLLATERAL,,0.0
0x0000000251b41c5e39b5f54af878950438186808-0x6d80113e533a2c0fe82eabd35f1875dcea89ea97-COLLATERAL-0,0x0000000251b41c5e39b5f54af878950438186808,0x6d80113e533a2c0fe82eabd35f1875dcea89ea97,WPOL,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xe7ed7058ed6249dadc3175836f4b1aacf0fef6cc61b4edcea8da237cedebe735,,1e+16,9826419777403988.0,True,,COLLATERAL,,0.0
0x0000000251b41c5e39b5f54af878950438186808-0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee-BORROWER-VARIABLE-0,0x0000000251b41c5e39b5f54af878950438186808,0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x0b048b69d87a8d5d42cbbaa34fbd11808f92fa314a0e2f7c421b7545c000c999,,1.1225708141670616e+16,1.1000071578361876e+16,,,BORROWER,VARIABLE,0.0
0x0000000251b41c5e39b5f54af878950438186808-0x8eb270e296023e9d92081fdf967ddd7878724424-BORROWER-VARIABLE-0,0x0000000251b41c5e39b5f54af878950438186808,0x8eb270e296023e9d92081fdf967ddd7878724424,GHST,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,0xc83b9c524ab65d9144084bbea2ca2c3dfe0464a7bdc4af7bf49d695b602d57b1,,8353194178045791.0,8067375407378836.0,,,BORROWER,VARIABLE,0.0
0x0000000251b41c5e39b5f54af878950438186808-0x8eb270e296023e9d92081fdf967ddd7878724424-COLLATERAL-0,0x0000000251b41c5e39b5f54af878950438186808,0x8eb270e296023e9d92081fdf967ddd7878724424,GHST,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,0x83d4711afbd9f8839ca577b13b18c4da16c6887e79f9f235d0c49b0dc61498ae,,8353194178045791.0,8266448501302563.0,True,,COLLATERAL,,0.0
0x0000000251b41c5e39b5f54af878950438186808-0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8-COLLATERAL-0,0x0000000251b41c5e39b5f54af878950438186808,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xf7af42411bba1938bf789da51714ff2ecca57b7656167c9abf86d6e1e23ea725,,6602363090439.0,6577674930841.0,True,,COLLATERAL,,0.0
0x00000002b7d3b2da5ce175347e2a7d265d740926-0x6d80113e533a2c0fe82eabd35f1875dcea89ea97-COLLATERAL-0,0x00000002b7d3b2da5ce175347e2a7d265d740926,0x6d80113e533a2c0fe82eabd35f1875dcea89ea97,WPOL,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xff13512815a16526e78ed6330663bbdfe0780447011ecbf936fe80ff5267b20f,,2.0000000230646428e+16,1.9493613805320548e+16,True,,COLLATERAL,,0.0
0x00000002b7d3b2da5ce175347e2a7d265d740926-0x8eb270e296023e9d92081fdf967ddd7878724424-BORROWER-VARIABLE-0,0x00000002b7d3b2da5ce175347e2a7d265d740926,0x8eb270e296023e9d92081fdf967ddd7878724424,GHST,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,0x17b8f2c4ef4c01b94b0186acfc0a738ce8545afaa44d1c86f9f84c3f0e2809b8,,1e+16,9688827621369822.0,,,BORROWER,VARIABLE,0.0
